Bed,large.lb,small.lb,large.kg,small.kg,large.c,small.c,min.l,max.l,min.s,max.s
KSH1,585.99460986,176.10945484,265.803,79.882,1008,3598,0,80,0,829
KSH2,20.2604578,12.57074324,9.190000000000001,5.702,57,125,0,25,1,60
