Bed,year,variable,N_b,llN,ulN,varN,cvN,dbar_b,lldbar,uldbar,var_dbar,cv
KSH1,2017.0,large,3281432.0892180265,2391096.194804013,4205594.261975327,215730721985.7684,14.154436281296409,18066.57539623425,13164.654488818,23154.733590130083,6539383.859507198,14.154436281296409
KSH1,2017.0,small,11427062.437061712,6007093.4879528405,18367406.51917726,10813892990675.379,28.777723365229036,62913.959351768506,33073.244992307664,101125.40064514265,327798454.6231005,28.77772336522903
KSH1,2017.0,all,14762636.490345242,8987321.827449197,22126562.204078477,11928605882683.418,23.39542392182141,81278.6240728142,49481.48338627537,121822.17807674107,361588428.6559267,23.39542392182141
KSH2,2017.0,large,237436.88138332462,68384.73362533942,426720.36879159784,9901425895.669529,41.90836245333354,11226.330089046081,3233.3207387867337,20175.903961777676,22134871.140328355,41.90836245333354
KSH2,2017.0,small,493798.55417923455,141845.50903686378,883657.7073430959,37068749838.00205,38.990082644979736,23347.449370176575,6706.643453279612,41780.506257356785,82868064.62452045,38.990082644979736
KSH2,2017.0,all,730508.9715492154,236243.1696481891,1290592.1824379468,71223052409.8426,36.5329495543248,34539.43127892271,11169.889817881283,61020.90697106131,159220813.64081308,36.53294955432481
