District,Bed,year,variable,llW,ulW,Weight,lldbar,uldbar,dbar_lb,varW,cvW
KSH,KSH1,2017.0,large,1405453.3698706988,2425908.3617148637,1905047.1347435964,7738.002366738418,13356.319780404467,10488.614957570866,70110341427.04575,13.899056346883501
KSH,KSH1,2017.0,small,340891.0958493188,841739.1617836825,571143.7223558867,1876.8435602561185,4634.361954433091,3144.545077112188,15894713497.378342,22.073995231884595
KSH,KSH1,2017.0,all,1836680.5177812758,3160899.496050687,2473316.727498559,10112.208984095556,17402.959291145115,13617.335943944056,116227159972.80305,13.783962350958042
KSH,KSH2,2017.0,large,24756.765079405202,145510.72475334976,85496.59058252866,1170.5326278678585,6879.939704650107,4042.3919897176675,1166747485.3680205,39.95210260973737
KSH,KSH2,2017.0,small,9656.096613313373,97046.3389187161,47551.165138290206,456.55303136233454,4588.479381499579,2248.282039635471,531399762.86066806,48.47853813855226
KSH,KSH2,2017.0,all,37192.96299737057,236576.31250793333,130645.21917865337,1758.5325294265042,11185.641253330183,6177.078920976519,2843337912.3137054,40.81508601750542
