year,District,Bed,variable,n,area,dbar,var_dbar,cv,ss,N,varN,cvN,sd_N
2017.0,KSH,KSH1,large,57.0,181.63,17995.673942033438,390064630.4953853,109.7488985415942,21843619307.741577,3268554.258091533,225754742384.9463,14.536596727059012,475136.5513038818
2017.0,KSH,KSH1,small,57.0,181.63,63809.45771906802,20069331986.012646,222.01453329647185,1123882591216.7083,11589711.805514324,11615374781830.799,29.406543308987153,3408133.621475367
2017.0,KSH,KSH1,all,57.0,181.63,81805.13166110146,21183353689.203476,177.9167393763483,1186267806595.3948,14858266.063605858,12260128658376.037,23.56564781674817,3501446.6522247684
2017.0,KSH,KSH2,large,6.0,21.15,11024.696959673813,150331857.5787875,111.21384381451452,751659287.8939375,233172.3406971011,11207803726.964527,45.402861613190616,105866.91516694216
2017.0,KSH,KSH2,small,6.0,21.15,23406.19219591211,558307776.8810191,100.94994155116537,2791538884.4050956,495040.9649435411,41623938420.64327,41.21264106069015,204019.45598555857
2017.0,KSH,KSH2,all,6.0,21.15,34430.889155585915,1174923686.7703605,99.55351337625987,5874618433.851802,728213.3056406421,87594966812.55574,40.64255164552941,295964.4688346149
