Event,1,2
2017D06001,14,13
2017D06002,31,8
2017D06004,25,108
2017D06005,5,4
2017D06006,14,196
2017D06007,80,124
2017D06008,28,54
2017D06009,19,35
2017D06011,24,42
2017D06012,0,2
2017D06014,1,1
2017D06015,8,637
2017D06016,16,829
2017D06017,19,61
2017D06020,26,72
2017D06024,31,26
2017D06025,13,31
2017D06026,65,16
2017D06027,21,52
2017D06028,19,21
2017D06029,29,45
2017D06030,47,37
2017D06032,0,4
2017D06033,6,14
2017D06034,7,6
2017D06035,16,15
2017D06036,1,2
2017D06037,1,2
2017D06038,3,1
2017D06039,43,29
2017D06040,51,17
2017D06043,44,45
2017D06044,40,49
2017D06045,15,38
2017D06046,39,155
2017D06047,14,22
2017D06048,13,3
2017D06049,19,15
2017D06050,0,1
2017D06052,16,20
2017D06053,49,205
2017D06056,66,153
2017D06057,3,159
2017D06058,21,72
2017D06059,1,155
2017D06061,1,0
2017D06062,4,2
2017D06065,0,1
2017D06067,25,37
2017D06068,19,60
2017D06070,0,11
2017D06071,13,16
