"","Event","Bed","sc","sh"
"1","2017D06001","KSH1","1",169
"2","2017D06001","KSH1","1",167
"3","2017D06001","KSH1","1",166
"4","2017D06001","KSH1","1",163
"5","2017D06001","KSH1","1",123
"6","2017D06001","KSH1","1",158
"7","2017D06001","KSH1","1",161
"8","2017D06001","KSH1","1",169
"9","2017D06001","KSH1","1",123
"10","2017D06001","KSH1","1",127
"11","2017D06001","KSH1","1",133
"12","2017D06001","KSH1","1",146
"13","2017D06001","KSH1","1",123
"14","2017D06001","KSH1","1",159
"15","2017D06001","KSH1","2",86
"16","2017D06001","KSH1","2",76
"17","2017D06001","KSH1","2",79
"18","2017D06001","KSH1","2",73
"19","2017D06001","KSH1","2",53
"20","2017D06001","KSH1","2",49
"21","2017D06001","KSH1","2",51
"22","2017D06001","KSH1","2",48
"23","2017D06001","KSH1","2",47
"24","2017D06001","KSH1","2",34
"25","2017D06001","KSH1","2",81
"26","2017D06001","KSH1","2",54
"27","2017D06001","KSH1","2",53
"28","2017D06002","KSH1","1",164
"29","2017D06002","KSH1","1",156
"30","2017D06002","KSH1","1",169
"31","2017D06002","KSH1","1",170
"32","2017D06002","KSH1","1",165
"33","2017D06002","KSH1","1",168
"34","2017D06002","KSH1","1",164
"35","2017D06002","KSH1","1",161
"36","2017D06002","KSH1","1",116
"37","2017D06002","KSH1","1",175
"38","2017D06002","KSH1","1",154
"39","2017D06002","KSH1","1",161
"40","2017D06002","KSH1","1",158
"41","2017D06002","KSH1","1",159
"42","2017D06002","KSH1","1",155
"43","2017D06002","KSH1","1",158
"44","2017D06002","KSH1","1",164
"45","2017D06002","KSH1","1",168
"46","2017D06002","KSH1","1",163
"47","2017D06002","KSH1","1",172
"48","2017D06002","KSH1","1",165
"49","2017D06002","KSH1","1",191
"50","2017D06002","KSH1","1",171
"51","2017D06002","KSH1","1",168
"52","2017D06002","KSH1","1",165
"53","2017D06002","KSH1","1",168
"54","2017D06002","KSH1","1",180
"55","2017D06002","KSH1","1",170
"56","2017D06002","KSH1","1",NA
"57","2017D06002","KSH1","1",NA
"58","2017D06002","KSH1","1",NA
"59","2017D06002","KSH1","2",43
"60","2017D06002","KSH1","2",47
"61","2017D06002","KSH1","2",45
"62","2017D06002","KSH1","2",43
"63","2017D06002","KSH1","2",45
"64","2017D06002","KSH1","2",38
"65","2017D06002","KSH1","2",38
"66","2017D06002","KSH1","2",49
"67","2017D06004","KSH1","1",106
"68","2017D06004","KSH1","1",148
"69","2017D06004","KSH1","1",160
"70","2017D06004","KSH1","1",131
"71","2017D06004","KSH1","1",138
"72","2017D06004","KSH1","1",152
"73","2017D06004","KSH1","1",144
"74","2017D06004","KSH1","1",141
"75","2017D06004","KSH1","1",152
"76","2017D06004","KSH1","1",150
"77","2017D06004","KSH1","1",139
"78","2017D06004","KSH1","1",171
"79","2017D06004","KSH1","1",150
"80","2017D06004","KSH1","1",166
"81","2017D06004","KSH1","1",167
"82","2017D06004","KSH1","1",140
"83","2017D06004","KSH1","1",155
"84","2017D06004","KSH1","1",145
"85","2017D06004","KSH1","1",156
"86","2017D06004","KSH1","1",134
"87","2017D06004","KSH1","1",140
"88","2017D06004","KSH1","1",124
"89","2017D06004","KSH1","1",109
"90","2017D06004","KSH1","1",152
"91","2017D06004","KSH1","1",131
"92","2017D06004","KSH1","2",56
"93","2017D06004","KSH1","2",54
"94","2017D06004","KSH1","2",56
"95","2017D06004","KSH1","2",56
"96","2017D06004","KSH1","2",53
"97","2017D06004","KSH1","2",57
"98","2017D06004","KSH1","2",55
"99","2017D06004","KSH1","2",54
"100","2017D06004","KSH1","2",56
"101","2017D06004","KSH1","2",58
"102","2017D06004","KSH1","2",83
"103","2017D06004","KSH1","2",89
"104","2017D06004","KSH1","2",89
"105","2017D06004","KSH1","2",59
"106","2017D06004","KSH1","2",67
"107","2017D06004","KSH1","2",62
"108","2017D06004","KSH1","2",58
"109","2017D06004","KSH1","2",87
"110","2017D06004","KSH1","2",58
"111","2017D06004","KSH1","2",49
"112","2017D06004","KSH1","2",57
"113","2017D06004","KSH1","2",55
"114","2017D06004","KSH1","2",101
"115","2017D06004","KSH1","2",54
"116","2017D06004","KSH1","2",52
"117","2017D06004","KSH1","2",50
"118","2017D06004","KSH1","2",85
"119","2017D06004","KSH1","2",49
"120","2017D06004","KSH1","2",44
"121","2017D06004","KSH1","2",61
"122","2017D06004","KSH1","2",55
"123","2017D06004","KSH1","2",41
"124","2017D06004","KSH1","2",57
"125","2017D06004","KSH1","2",60
"126","2017D06004","KSH1","2",56
"127","2017D06004","KSH1","2",55
"128","2017D06004","KSH1","2",52
"129","2017D06004","KSH1","2",53
"130","2017D06004","KSH1","2",57
"131","2017D06004","KSH1","2",52
"132","2017D06004","KSH1","2",41
"133","2017D06004","KSH1","2",41
"134","2017D06004","KSH1","2",44
"135","2017D06004","KSH1","2",49
"136","2017D06004","KSH1","2",49
"137","2017D06004","KSH1","2",49
"138","2017D06004","KSH1","2",50
"139","2017D06004","KSH1","2",50
"140","2017D06004","KSH1","2",52
"141","2017D06004","KSH1","2",52
"142","2017D06004","KSH1","2",52
"143","2017D06004","KSH1","2",52
"144","2017D06004","KSH1","2",52
"145","2017D06004","KSH1","2",53
"146","2017D06004","KSH1","2",53
"147","2017D06004","KSH1","2",53
"148","2017D06004","KSH1","2",53
"149","2017D06004","KSH1","2",54
"150","2017D06004","KSH1","2",54
"151","2017D06004","KSH1","2",54
"152","2017D06004","KSH1","2",54
"153","2017D06004","KSH1","2",54
"154","2017D06004","KSH1","2",54
"155","2017D06004","KSH1","2",55
"156","2017D06004","KSH1","2",55
"157","2017D06004","KSH1","2",55
"158","2017D06004","KSH1","2",55
"159","2017D06004","KSH1","2",55
"160","2017D06004","KSH1","2",55
"161","2017D06004","KSH1","2",55
"162","2017D06004","KSH1","2",56
"163","2017D06004","KSH1","2",56
"164","2017D06004","KSH1","2",56
"165","2017D06004","KSH1","2",56
"166","2017D06004","KSH1","2",56
"167","2017D06004","KSH1","2",56
"168","2017D06004","KSH1","2",56
"169","2017D06004","KSH1","2",56
"170","2017D06004","KSH1","2",57
"171","2017D06004","KSH1","2",57
"172","2017D06004","KSH1","2",57
"173","2017D06004","KSH1","2",57
"174","2017D06004","KSH1","2",57
"175","2017D06004","KSH1","2",57
"176","2017D06004","KSH1","2",57
"177","2017D06004","KSH1","2",57
"178","2017D06004","KSH1","2",58
"179","2017D06004","KSH1","2",58
"180","2017D06004","KSH1","2",58
"181","2017D06004","KSH1","2",58
"182","2017D06004","KSH1","2",58
"183","2017D06004","KSH1","2",59
"184","2017D06004","KSH1","2",60
"185","2017D06004","KSH1","2",61
"186","2017D06004","KSH1","2",62
"187","2017D06004","KSH1","2",62
"188","2017D06004","KSH1","2",67
"189","2017D06004","KSH1","2",83
"190","2017D06004","KSH1","2",83
"191","2017D06004","KSH1","2",85
"192","2017D06004","KSH1","2",85
"193","2017D06004","KSH1","2",87
"194","2017D06004","KSH1","2",89
"195","2017D06004","KSH1","2",89
"196","2017D06004","KSH1","2",89
"197","2017D06004","KSH1","2",101
"198","2017D06004","KSH1","2",101
"199","2017D06004","KSH1","2",101
"200","2017D06005","KSH1","1",160
"201","2017D06005","KSH1","1",155
"202","2017D06005","KSH1","1",111
"203","2017D06005","KSH1","1",138
"204","2017D06005","KSH1","1",168
"205","2017D06005","KSH1","2",61
"206","2017D06005","KSH1","2",64
"207","2017D06005","KSH1","2",40
"208","2017D06005","KSH1","2",79
